model,period,n,frauds,prevalence,average_precision,roc_auc,precision,recall,alert_rate,precision_at_daily_budget,recall_at_daily_budget,settled_fraud_value_capture,brier_score,seed,scenario
logistic,all_test,8438,115,0.013628821995733587,0.12801805423459942,0.8209748784144514,0.07713884992987377,0.4782608695652174,0.08449869637354823,0.11428571428571428,0.2782608695652174,0.3891668543023417,0.034446040968909984,11,full
logistic,pre_shift,1408,29,0.020596590909090908,0.5358976016441493,0.9714185691780651,0.328125,0.7241379310344828,0.045454545454545456,0.2765957446808511,0.4482758620689655,0.5121179860534487,0.016083640696360094,11,full
logistic,post_shift,7030,86,0.012233285917496443,0.09548649857349382,0.7674552566713106,0.05238828967642527,0.3953488372093023,0.09231863442389758,0.0815450643776824,0.22093023255813954,0.30162807290653176,0.038123745034877296,11,full
boosting,all_test,8438,115,0.013628821995733587,0.15719310739716577,0.7955931441944533,0.13793103448275862,0.3826086956521739,0.03780516710120882,0.1357142857142857,0.33043478260869563,0.4461157250242483,0.014839886800787514,11,full
boosting,pre_shift,1408,29,0.020596590909090908,0.43129129288491913,0.9569153059438373,0.38636363636363635,0.5862068965517241,0.03125,0.32608695652173914,0.5172413793103449,0.5623052675691926,0.014931371636560413,11,full
boosting,post_shift,7030,86,0.012233285917496443,0.1155487862378661,0.7391273041474654,0.09818181818181818,0.313953488372093,0.03911806543385491,0.09829059829059829,0.26744186046511625,0.3633910618148797,0.014821563806652628,11,full
boosting_static,all_test,8438,115,0.013628821995733587,0.190362271726114,0.8286497866049554,0.15942028985507245,0.3826086956521739,0.032709172789760606,0.14285714285714285,0.34782608695652173,0.45453659761673826,0.012439345076444888,11,full
boosting_static,pre_shift,1408,29,0.020596590909090908,0.6006483556989858,0.9824085419219325,0.4782608695652174,0.7586206896551724,0.032670454545454544,0.35294117647058826,0.6206896551724138,0.6654337408669351,0.012510460385156325,11,full
boosting_static,post_shift,7030,86,0.012233285917496443,0.11129725434997963,0.7732934907834101,0.09565217391304348,0.2558139534883721,0.032716927453769556,0.09606986899563319,0.2558139534883721,0.304381990196351,0.01242510178275133,11,full
boosting_no_network,all_test,8438,115,0.013628821995733587,0.18464402903680202,0.8133955670248498,0.14414414414414414,0.41739130434782606,0.03946432803981986,0.14642857142857144,0.3565217391304348,0.5008086375917972,0.012980820267812792,11,full
boosting_no_network,pre_shift,1408,29,0.020596590909090908,0.612201387689636,0.9749693681078242,0.44680851063829785,0.7241379310344828,0.033380681818181816,0.375,0.6206896551724138,0.7041056168837084,0.012852245699945636,11,full
boosting_no_network,post_shift,7030,86,0.012233285917496443,0.11347627676635423,0.7536169756724895,0.0944055944055944,0.313953488372093,0.040682788051209104,0.09913793103448276,0.26744186046511625,0.3560651970459326,0.013006571760210655,11,full
isolation_forest,all_test,8438,115,0.013628821995733587,0.05800069373133702,0.7353995476129531,0.05582137161084529,0.30434782608695654,0.07430670775065182,0.08571428571428572,0.20869565217391303,0.23844416828322018,,11,full
isolation_forest,pre_shift,1408,29,0.020596590909090908,0.20849232493826408,0.8741716886299418,0.1864406779661017,0.3793103448275862,0.04190340909090909,0.1568627450980392,0.27586206896551724,0.38070857226151217,,11,full
isolation_forest,post_shift,7030,86,0.012233285917496443,0.04775954874735225,0.6961974868717179,0.04225352112676056,0.27906976744186046,0.08079658605974395,0.06986899563318777,0.18604651162790697,0.13715471789026956,,11,full
behaviour_rule,all_test,8438,115,0.013628821995733587,0.19761346957791684,0.8060732699852163,0.1284153005464481,0.40869565217391307,0.04337520739511733,0.14285714285714285,0.34782608695652173,0.5665962311209644,,11,full
behaviour_rule,pre_shift,1408,29,0.020596590909090908,0.5588034190726799,0.9751944187442174,0.3958333333333333,0.6551724137931034,0.03409090909090909,0.3333333333333333,0.6206896551724138,0.7794529141212085,,11,full
behaviour_rule,post_shift,7030,86,0.012233285917496443,0.1273060178414074,0.7432483120780194,0.0880503144654088,0.32558139534883723,0.04523470839260313,0.09734513274336283,0.2558139534883721,0.41504647003771344,,11,full
logistic,all_test,8706,115,0.013209280955662761,0.09350986643226655,0.7664127777805894,0.08904109589041095,0.3391304347826087,0.05031013094417643,0.11428571428571428,0.2782608695652174,0.3479037656346827,0.016959816420007417,22,full
logistic,pre_shift,1504,11,0.007313829787234043,0.31987883481372154,0.9634049808195824,0.14285714285714285,0.7272727272727273,0.03723404255319149,0.12727272727272726,0.6363636363636364,0.7046058171924596,0.008241537336269901,22,full
logistic,post_shift,7202,104,0.01444043321299639,0.07739927194659595,0.7395365975247632,0.08115183246073299,0.2980769230769231,0.05304082199389058,0.1111111111111111,0.2403846153846154,0.31205433655656883,0.01878046231586152,22,full
boosting,all_test,8706,115,0.013209280955662761,0.04721723120608871,0.7107149544771323,0.06388888888888888,0.2,0.04135079255685734,0.07142857142857142,0.17391304347826086,0.23395859739314728,0.015037599163702316,22,full
boosting,pre_shift,1504,11,0.007313829787234043,0.25957755431473023,0.9690068805942885,0.13333333333333333,0.5454545454545454,0.02992021276595745,0.11538461538461539,0.5454545454545454,0.5876627583079614,0.006796890298760856,22,full
boosting,post_shift,7202,104,0.01444043321299639,0.03565625729919917,0.6778107863536857,0.05396825396825397,0.16346153846153846,0.04373785059705637,0.06140350877192982,0.1346153846153846,0.19841046366088155,0.01675851365035491,22,full
boosting_static,all_test,8706,115,0.013209280955662761,0.11239155423740706,0.7380757415495489,0.1223021582733813,0.2956521739130435,0.0319320009189065,0.10714285714285714,0.2608695652173913,0.3091159979945011,0.01301309005219471,22,full
boosting_static,pre_shift,1504,11,0.007313829787234043,0.2900284209930436,0.9195031358460696,0.17073170731707318,0.6363636363636364,0.02726063829787234,0.1111111111111111,0.5454545454545454,0.6035013279782341,0.006620355841067101,22,full
boosting_static,post_shift,7202,104,0.01444043321299639,0.09915870110155807,0.714519393328565,0.11392405063291139,0.25961538461538464,0.03290752568730908,0.10619469026548672,0.23076923076923078,0.279529551931744,0.014348090365098893,22,full
boosting_no_network,all_test,8706,115,0.013209280955662761,0.08752408610395963,0.7296948778549848,0.09215017064846416,0.23478260869565218,0.033654950608775554,0.08928571428571429,0.21739130434782608,0.3111865720315733,0.013070253279706404,22,full
boosting_no_network,pre_shift,1504,11,0.007313829787234043,0.36967751976026303,0.9583510929793582,0.13333333333333333,0.5454545454545454,0.02992021276595745,0.09090909090909091,0.45454545454545453,0.5832739521927836,0.005961142539480805,22,full
