model,period,n,frauds,prevalence,average_precision,roc_auc,precision,recall,alert_rate,precision_at_daily_budget,recall_at_daily_budget,settled_fraud_value_capture,brier_score
logistic,all_test,8628,173,0.02005099675475197,0.12728158552387067,0.6790967481703544,0.14016172506738545,0.30057803468208094,0.04299953639313862,0.15714285714285714,0.2543352601156069,0.3354114185850185,0.01921740973633155
logistic,pre_shift,1483,25,0.016857720836142953,0.038807825000907306,0.43465020576131685,0.09523809523809523,0.16,0.028320971004720162,0.07547169811320754,0.16,0.7674916556458216,0.017599978317969316
logistic,post_shift,7145,148,0.02071378586424073,0.1468118007160733,0.7183541981312455,0.1458966565349544,0.32432432432432434,0.04604618614415675,0.1762114537444934,0.2702702702702703,0.3108785316744468,0.019553120134292525
boosting,all_test,8628,173,0.02005099675475197,0.180695252509735,0.7430480305459368,0.14317673378076062,0.3699421965317919,0.05180806675938804,0.175,0.2832369942196532,0.33623109210288127,0.0184115393536153
boosting,pre_shift,1483,25,0.016857720836142953,0.6177181264697216,0.9565432098765432,0.2835820895522388,0.76,0.045178691840863115,0.30357142857142855,0.68,0.7674916556458216,0.009769798069837755
boosting,post_shift,7145,148,0.02071378586424073,0.11745246095020298,0.6977237348825172,0.11842105263157894,0.30405405405405406,0.05318404478656403,0.14285714285714285,0.21621621621621623,0.311744745061511,0.020205199580885014
boosting_static,all_test,8628,173,0.02005099675475197,0.13388724563382332,0.720037054381749,0.14534883720930233,0.28901734104046245,0.039870190078813164,0.16428571428571428,0.2658959537572254,0.36084667452786295,0.01862184968277122
boosting_static,pre_shift,1483,25,0.016857720836142953,0.4862091091818078,0.9296707818930042,0.2631578947368421,0.6,0.03843560350640594,0.2692307692307692,0.56,0.6044933560047862,0.012708898881153403
boosting_static,post_shift,7145,148,0.02071378586424073,0.09501723185016164,0.6806020147630838,0.12195121951219512,0.23648648648648649,0.04016794961511547,0.14035087719298245,0.21621621621621623,0.347012770613465,0.01984912834460456
boosting_no_network,all_test,8628,173,0.02005099675475197,0.13438531892679886,0.7525355246920966,0.16346153846153846,0.2947976878612717,0.03616133518776078,0.17142857142857143,0.2774566473988439,0.40769494949153173,0.01871058382491953
boosting_no_network,pre_shift,1483,25,0.016857720836142953,0.4136584518944886,0.9363786008230452,0.2545454545454545,0.56,0.037086985839514496,0.2641509433962264,0.56,0.7674916556458216,0.01355400809608068
boosting_no_network,post_shift,7145,148,0.02071378586424073,0.1074927094339671,0.7179418592524209,0.14396887159533073,0.25,0.03596920923722883,0.14977973568281938,0.22972972972972974,0.3872662162476244,0.019780870991591055
isolation_forest,all_test,8628,173,0.02005099675475197,0.1357226052151665,0.7045562532687504,0.10804020100502512,0.24855491329479767,0.04612888270746407,0.12857142857142856,0.20809248554913296,0.12413189891877535,
isolation_forest,pre_shift,1483,25,0.016857720836142953,0.706550682471282,0.9259807956104252,0.27941176470588236,0.76,0.045853000674308836,0.3392857142857143,0.76,0.21885824044335286,
isolation_forest,post_shift,7145,148,0.02071378586424073,0.047880700600597174,0.662189200777167,0.07272727272727272,0.16216216216216217,0.04618614415675298,0.07589285714285714,0.11486486486486487,0.11875347513368649,
behaviour_rule,all_test,8628,173,0.02005099675475197,0.14888402809603304,0.7581148754200236,0.16489361702127658,0.3583815028901734,0.04357904496986555,0.18571428571428572,0.30057803468208094,0.4194038461213117,
behaviour_rule,pre_shift,1483,25,0.016857720836142953,0.5097760570064859,0.9226337448559672,0.26666666666666666,0.64,0.04045853000674309,0.2807017543859649,0.64,0.6044933560047862,
behaviour_rule,post_shift,7145,148,0.02071378586424073,0.09187952437035042,0.7252442166333835,0.14556962025316456,0.3108108108108108,0.04422673198040588,0.16143497757847533,0.24324324324324326,0.4088947331723076,
